Id,"SchemaName=Search,Pattern=zappos-myaccount-prod class=$CPU$ host=zappos-myaccount-prod-1a schemaname=Snitch metric=$Utilization$,Stat=avg,Period=FiveMinute","SchemaName=Snitch,Class=CPU,DataSet=prod,Host=zmya-prod-1a-685d68d3.us-east-1.amazon.com,HostGroup=NONE,Metric=Utilization,Object=cpu,Stat=avg,Period=FiveMinute","SchemaName=Snitch,Class=CPU,DataSet=prod,Host=zmya-prod-1a-ca3da6d9.us-east-1.amazon.com,HostGroup=NONE,Metric=Utilization,Object=cpu,Stat=avg,Period=FiveMinute","SchemaName=Snitch,Class=CPU,DataSet=prod,Host=zmya-prod-1b-752c1910.us-east-1.amazon.com,HostGroup=NONE,Metric=Utilization,Object=cpu,Stat=avg,Period=FiveMinute","SchemaName=Snitch,Class=CPU,DataSet=prod,Host=zmya-prod-1b-c1305550.us-east-1.amazon.com,HostGroup=NONE,Metric=Utilization,Object=cpu,Stat=avg,Period=FiveMinute","SchemaName=Snitch,Class=CPU,DataSet=prod,Host=zmya-prod-1d-6f760ec0.us-east-1.amazon.com,HostGroup=NONE,Metric=Utilization,Object=cpu,Stat=avg,Period=FiveMinute","SchemaName=Snitch,Class=CPU,DataSet=prod,Host=zmya-prod-1d-dcb1299d.us-east-1.amazon.com,HostGroup=NONE,Metric=Utilization,Object=cpu,Stat=avg,Period=FiveMinute","SchemaName=Snitch,Class=CPU,DataSet=prod,Host=zmya-prod-1e-283343ed.us-east-1.amazon.com,HostGroup=NONE,Metric=Utilization,Object=cpu,Stat=avg,Period=FiveMinute","SchemaName=Snitch,Class=CPU,DataSet=prod,Host=zmya-prod-1e-952a6d87.us-east-1.amazon.com,HostGroup=NONE,Metric=Utilization,Object=cpu,Stat=avg,Period=FiveMinute","SchemaName=Snitch,Class=CPU,DataSet=prod,Host=zmya-prod-id-m5-2f392bc7.us-east-1.amazon.com,HostGroup=NONE,Metric=Utilization,Object=cpu,Stat=avg,Period=FiveMinute","SchemaName=Snitch,Class=CPU,DataSet=prod,Host=zmya-prod-id-m5-7a08167a.us-east-1.amazon.com,HostGroup=NONE,Metric=Utilization,Object=cpu,Stat=avg,Period=FiveMinute","SchemaName=Snitch,Class=CPU,DataSet=prod,Host=zmya-prod-id-m5-981b8449.us-east-1.amazon.com,HostGroup=NONE,Metric=Utilization,Object=cpu,Stat=avg,Period=FiveMinute","SchemaName=Snitch,Class=CPU,DataSet=prod,Host=zmya-prod-id-m5-f7737a95.us-east-1.amazon.com,HostGroup=NONE,Metric=Utilization,Object=cpu,Stat=avg,Period=FiveMinute"
Label,"Search avg","Snitch zmya-prod-1a-685d68d3.us-east-1.amazon.com","Snitch zmya-prod-1a-ca3da6d9.us-east-1.amazon.com","Snitch zmya-prod-1b-752c1910.us-east-1.amazon.com","Snitch zmya-prod-1b-c1305550.us-east-1.amazon.com","Snitch zmya-prod-1d-6f760ec0.us-east-1.amazon.com","Snitch zmya-prod-1d-dcb1299d.us-east-1.amazon.com","Snitch zmya-prod-1e-283343ed.us-east-1.amazon.com","Snitch zmya-prod-1e-952a6d87.us-east-1.amazon.com","Snitch zmya-prod-id-m5-2f392bc7.us-east-1.amazon.com","Snitch zmya-prod-id-m5-7a08167a.us-east-1.amazon.com","Snitch zmya-prod-id-m5-981b8449.us-east-1.amazon.com","Snitch zmya-prod-id-m5-f7737a95.us-east-1.amazon.com"
Result,NoMetric,MetricData,MetricData,MetricData,MetricData,MetricData,MetricData,MetricData,MetricData,MetricData,MetricData,MetricData,MetricData
Min,,2.2,2.0,2.2,2.0,2.2,2.2,2.0,2.0,5.2,4.8,5.0,4.6
Avg,,5.568981481481478,5.679398148148144,5.739351851851866,5.711574074074075,6.358564814814827,5.681018518518524,5.789351851851849,5.5999999999999845,13.079166666666675,13.529861111111138,13.367592592592601,13.042592592592598
Max,,9.2,9.6,10.0,9.2,10.4,9.2,9.8,9.6,21.2,22.0,22.4,22.2
2021/12/28 23:55 PST,,3.8,3.6,3.8,3.8,4.0,4.0,3.8,3.6,9.2,9.4,8.8,10.2
2021/12/29 00:00 PST,,3.8,4.8,4.2,4.0,4.2,4.0,4.0,3.8,10.6,9.4,9.4,8.8
2021/12/29 00:05 PST,,4.2,4.2,4.2,4.0,4.8,4.2,4.2,4.2,9.8,9.0,10.2,10.0
2021/12/29 00:10 PST,,4.0,3.4,3.6,4.0,4.6,3.6,3.4,3.6,8.4,8.8,9.0,8.4
2021/12/29 00:15 PST,,3.8,4.6,4.2,4.0,4.4,3.6,4.2,3.8,8.6,8.8,9.0,8.6
2021/12/29 00:20 PST,,4.6,4.4,4.0,4.2,4.8,5.0,4.0,4.4,9.4,9.2,10.2,9.6
2021/12/29 00:25 PST,,3.4,3.6,3.6,4.2,3.8,3.0,3.6,3.4,7.4,8.2,8.2,7.8
2021/12/29 00:30 PST,,3.4,4.0,3.6,3.4,4.4,3.6,3.6,3.4,8.0,8.8,10.4,8.2
2021/12/29 00:35 PST,,3.4,3.4,3.2,3.8,4.0,3.4,3.4,3.8,8.4,7.8,8.4,8.2
